term,estimate,std.error,statistic,p.value,conf.low,conf.high,se_type
is_holiday,0.4496495246549576,0.0635139014034362,7.079545024305984,4.424546402705162e-12,0.3248905216726119,0.5744085276373033,classical
is_weekend,0.14336600064927574,0.03518807631267382,4.074277871156005,5.29401204641889e-5,0.07424681224120268,0.2124851890573488,classical
(Intercept),2.7073212308048693,0.4865986525953546,5.563766394265423,4.1245056775285446e-8,1.7515058674131805,3.6631365941965583,HC3_robust
log1p(starting5_followers_total),0.07254614384661133,0.01270989484757588,5.707847682189742,1.8709024593093982e-8,0.047580368258021324,0.09751191943520134,HC3_robust
log1p(team_handle_followers_home),0.06686993939958791,0.0181027287016789,3.6939149065072265,2.4284900287989536e-4,0.03131113519803769,0.10242874360113813,HC3_robust
log1p(team_handle_followers_away),0.012096465675224488,0.018100486197910215,0.6682950691468763,0.5042251094681722,-0.02345793362396289,0.047650864974411865,HC3_robust
log(market_hh_combined),0.10878342629981191,0.023124934159169126,4.704161557868863,3.2268713093600127e-6,0.06335961094630815,0.15420724165331567,HC3_robust
home_last5_win_pct,0.0649536284314358,0.056745378919373375,1.1446505366318043,0.25285092231881756,-0.04651011007941294,0.17641736694228455,HC3_robust
away_last5_win_pct,-0.032119584021584185,0.05749330902344434,-0.5586664703624316,0.576616325876514,-0.14505246569672497,0.08081329765355659,HC3_robust
on_fire_either,9.448106068676997e-4,0.03710881675363689,0.02546054252120832,0.9796968388106169,-0.07194724731649953,0.07383686853023493,HC3_robust
combined_season_win_pct,0.9586407483774912,0.21225500110915946,4.51645776715752,7.696717042716773e-6,0.5417127730639991,1.3755687236909835,HC3_robust
playoff_stakesround1,0.9171970013212338,0.030514255061628633,30.05798435743561,3.127259303169823e-118,0.8572585003928084,0.9771355022496593,HC3_robust
playoff_stakesround2,1.315512077265363,0.04380203402124201,30.033127608352594,4.151778335848793e-118,1.2294726753023575,1.4015514792283685,HC3_robust
playoff_stakesconf_finals,1.523342292347218,0.04098995203960903,37.16379787112695,3.0683195134133397e-152,1.4428266030924697,1.6038579816019662,HC3_robust
playoff_stakesfinals,1.5749770413410942,0.08108339350335285,19.424162868515953,2.064897961152356e-64,1.4157066594502374,1.734247423231951,HC3_robust
networkESPN,-0.5112294072161272,0.05136992145543685,-9.951921138513248,1.4374860171769331e-21,-0.6121342491869116,-0.4103245652453428,HC3_robust
networkNBC,-0.16804482669148016,0.08933822950260725,-1.8809957128888024,0.06049957685066962,-0.34353000701690517,0.007440353633944852,HC3_robust
networkPRIME VIDEO,-0.7947815702908462,0.08360043443622231,-9.50690717877997,6.008315251605863e-20,-0.9589961220454922,-0.6305670185362001,HC3_robust
networkTNT,-0.559649636950333,0.06012794985021152,-9.307645418553452,3.075427359211783e-19,-0.6777576874546755,-0.44154158644599045,HC3_robust
networkTNT+TRUTV,-0.6902306916527016,0.07179863581943861,-9.613423483261084,2.4852873681400606e-20,-0.8312632218924686,-0.5491981614129345,HC3_robust
time_slotprimetime,0.13644846086430357,0.0526367081364954,2.5922681279853386,0.009787576078188798,0.03305529681240024,0.2398416249162069,HC3_robust
time_slotlate,0.1197564465974676,0.059114519484984945,2.0258381128833447,0.04326275951864043,0.0036390557623303815,0.23587383743260482,HC3_robust
is_holiday,0.4496495246549576,0.1407554903252214,3.1945434143707203,0.0014806059310754933,0.17316651464865085,0.7261325346612644,HC3_robust
is_weekend,0.14336600064927574,0.04149840820730596,3.4547349366531988,5.932383610075985e-4,0.06185156178002711,0.22488043951852438,HC3_robust
