,,,,,,,Universe Estimates,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TV Households and Persons by Age/Sex Therein,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Population as of January 1, 2026",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Effective September 27, 2025",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,DMA Name,Total HHs,Total TVHHs,Black TV HHs,Hisp TVHHs,TVHHs w/child <18,Children 2-5,Children 6-11,Males 12-14,Males 15-17,Males 18-20,Males 21-24,Males 25-34,Males 35-44,Males 45-49,Males 50-54,Males 55-64,Males 65+,Females 12-14,Females 15-17,Females 18-20,Females 21-24,Females 25-34,Females 35-44,Females 45-49,Females 50-54,Females 55-64,Females 65+,
535,"Columbus, OH",1079000,1051690,169380,44140,"314,510","129,463","199,062","53,724","52,095","57,052","66,809","174,173","180,488","82,253","80,084","152,935","197,612","51,538","49,456","55,931","64,309","175,144","182,450","82,982","79,947","156,401","239,049",
536,"Youngstown, OH",268700,264410,28710,8790,"62,470","26,033","40,013","10,842","10,939","12,257","14,385","34,163","33,665","16,713","17,638","39,083","66,300","10,329","10,092","11,779","13,602","34,034","34,494","17,148","18,013","41,089","80,525",
537,"Bangor, ME",154800,147760,2040,2800,"34,480","11,811","18,803","5,304","5,524","6,284","7,341","18,063","19,933","9,591","10,187","23,917","40,403","5,030","5,134","6,211","6,884","17,876","20,371","10,071","10,534","25,242","44,943",
538,"Rochester, NY",453000,443750,57870,31200,"112,990","43,925","68,187","18,584","18,622","21,846","24,982","62,269","65,801","28,672","28,545","66,119","101,014","17,905","17,700","22,204","24,799","63,182","67,665","30,111","30,406","70,958","119,889",
539,"Tampa-St. Petersburg (Sarasota), FL",2337900,2283670,270240,409080,"551,590","215,557","339,390","93,407","93,558","99,840","118,381","310,652","338,839","160,036","161,915","345,781","619,554","89,234","88,336","98,349","114,873","314,956","347,960","166,802","169,456","376,547","729,779",
540,"Traverse City-Cadillac, MI",269700,261850,3930,5570,"61,130","22,609","35,996","10,093","10,460","11,549","13,947","31,285","33,455","16,310","16,994","43,700","80,771","9,518","9,571","10,773","12,431","29,464","32,823","16,235","16,759","43,914","86,025",
541,"Lexington, KY",544000,528190,40650,18970,"157,450","61,116","94,015","25,724","24,965","27,357","34,784","80,920","78,094","39,105","39,917","79,246","109,222","24,297","23,350","26,893","33,951","80,421","80,409","40,348","40,731","83,385","132,010",
542,"Dayton, OH",509200,507360,75240,13860,"136,680","56,943","87,671","23,718","23,243","26,103","30,698","75,259","74,123","33,875","33,965","73,480","110,313","22,502","21,809","25,246","29,012","73,574","75,253","34,803","34,892","76,787","133,610",
543,"Springfield-Holyoke, MA",279200,268690,22890,48410,"68,810","25,097","39,738","11,281","11,820","14,117","17,199","38,845","39,804","18,062","18,156","40,424","62,494","10,594","11,067","14,047","16,677","38,952","41,974","19,895","20,054","44,698","76,924",
544,"Norfolk-Portsmouth-Newport News, VA",792000,783500,256610,50490,"231,050","91,588","139,322","37,199","35,017","38,490","47,343","127,582","129,589","55,075","50,900","110,193","160,873","35,521","33,956","38,549","45,688","126,569","135,770","59,172","55,966","124,412","202,101",
545,"Greenville-New Bern-Washington, NC",328900,320330,85320,23910,"91,300","37,739","55,252","14,766","14,557","17,151","24,489","49,942","44,724","19,933","19,630","41,666","69,327","14,185","13,828","16,893","23,450","49,203","47,746","21,603","21,504","47,704","85,709",
546,"Columbia, SC",467400,455780,176000,22360,"132,240","50,829","78,859","21,627","21,602","24,126","31,565","66,831","65,003","30,623","30,631","63,852","91,392","20,915","20,773","24,095","30,399","70,334","73,591","34,719","34,338","72,017","116,177",
547,"Toledo, OH",437800,425990,49060,25260,"115,790","45,642","71,242","19,644","19,749","21,992","26,798","60,448","61,093","29,088","29,375","61,754","93,981","18,722","18,441","21,276","25,558","59,972","62,260","29,591","29,998","64,422","110,824",
548,"West Palm Beach-Ft. Pierce, FL",982300,972630,145590,176930,"232,120","92,499","141,708","38,171","38,679","42,144","50,644","123,641","136,319","65,668","67,186","148,561","297,861","36,443","36,610","41,413","48,363","122,064","136,814","67,553","70,476","161,592","351,851",
549,"Watertown, NY",96500,93740,3140,3620,"26,470","11,453","17,013","4,620","4,289","5,081","6,061","14,761","14,350","6,213","6,051","13,661","20,948","4,345","4,004","4,921","5,396","13,561","13,802","6,114","6,058","13,925","23,237",
550,"Wilmington, NC",249900,245260,31430,12520,"53,380","20,694","31,818","8,635","9,040","10,055","12,888","31,200","30,833","15,442","16,045","36,486","66,323","8,295","8,904","10,432","13,244","32,178","32,834","16,407","17,205","42,709","78,962",
551,"Lansing, MI",278300,272040,26730,14250,"67,340","28,174","44,108","12,050","12,346","14,847","20,822","41,807","40,038","18,781","18,399","38,536","58,452","11,562","11,771","14,813","20,616","41,548","40,529","18,972","18,902","40,507","68,946",
552,"Presque Isle, ME",29700,28490,290,480,"6,870","2,489","3,866","1,080","1,085","1,216","1,358","3,068","3,341","1,788","1,933","4,800","8,128","1,004",976,"1,151","1,193","2,896","3,315","1,790","1,960","4,686","9,008",
553,"Marquette, MI",93500,90650,780,1270,"20,000","7,648","12,181","3,406","3,784","4,509","6,108","10,565","11,060","5,716","5,650","13,534","25,539","3,276","3,642","4,433","5,945","10,028","10,585","5,408","5,378","13,330","26,629",
554,"Wheeling, WV-Steubenville, OH",129500,126380,5120,1670,"30,300","11,506","18,249","5,117","5,208","5,661","6,709","15,942","15,926","8,128","8,959","20,202","34,534","4,798","4,809","5,334","6,142","15,167","15,976","8,280","8,818","19,828","39,373",
555,"Syracuse, NY",406700,395460,33820,15760,"98,730","39,395","61,233","16,914","16,807","19,864","24,731","55,037","56,942","26,028","25,799","60,338","90,052","16,082","16,046","20,461","25,233","55,112","58,089","26,680","26,887","62,927","104,378",
556,"Richmond-Petersburg, VA",646900,645360,189850,40140,"186,710","71,938","109,476","29,285","28,231","30,931","37,243","100,002","103,686","46,579","45,167","95,137","135,852","27,862","26,915","31,134","37,427","106,314","109,614","49,143","48,094","105,535","170,599",
557,"Knoxville, TN",615300,583690,31460,24390,"157,100","61,381","94,675","26,381","26,296","27,881","34,731","84,320","83,216","41,320","43,832","93,193","141,531","24,941","24,672","27,199","33,173","83,440","85,748","42,802","45,107","98,626","165,635",
558,"Lima, OH",71800,70760,6340,2180,"21,050","8,828","13,617","3,736","3,695","4,046","4,657","10,354","10,052","4,916","4,871","10,520","16,461","3,552","3,422","3,838","4,307","9,708","10,264","5,065","4,904","10,826","18,961",
559,"Bluefield-Beckley-Oak Hill, WV",122500,117560,6910,1450,"31,330","11,268","18,225","5,213","5,187","5,295","6,043","14,621","14,859","8,278","8,790","17,333","32,115","4,988","4,947","5,250","5,768","14,332","15,428","8,546","9,014","18,373","37,687",
560,"Raleigh-Durham (Fayetteville), NC",1413100,1375650,375050,130080,"413,090","166,242","254,017","68,808","67,650","72,133","86,239","222,476","230,647","105,961","104,943","200,517","260,147","66,350","64,626","71,967","84,687","229,572","243,180","113,645","112,295","217,000","327,794",
561,"Jacksonville, FL",882000,845890,183040,79200,"248,720","99,983","156,377","43,091","41,647","42,901","49,024","126,359","139,227","64,109","63,125","129,369","186,377","41,312","39,585","42,458","47,718","130,485","147,859","68,120","66,721","140,683","226,868",
563,"Grand Rapids-Kalamazoo-Battle Creek, MI",830000,808010,67980,52320,"235,850","97,302","151,879","42,057","41,915","46,977","57,771","133,787","132,948","60,747","58,387","121,627","177,750","39,954","39,732","46,137","56,119","131,660","132,997","61,019","58,560","124,549","206,617",
564,"Charleston-Huntington, WV",436100,424630,15240,4800,"117,020","43,032","68,298","19,153","19,391","20,752","24,570","56,804","57,494","30,665","32,065","64,786","103,681","18,177","18,099","20,075","23,332","55,082","58,788","31,790","32,955","68,376","123,401",
565,"Elmira (Corning), NY",97800,94730,3720,1950,"24,740","9,514","14,830","4,153","4,071","4,607","5,081","11,786","12,789","6,196","6,382","14,794","23,919","3,901","3,823","4,573","4,878","11,580","12,991","6,336","6,466","15,262","26,769",
566,"Harrisburg-Lancaster-Lebanon-York, PA",835800,809240,63450,63890,"230,340","95,143","147,278","40,673","40,327","45,901","50,249","118,816","128,920","60,056","60,537","128,932","194,846","38,487","37,945","45,779","48,467","117,928","129,785","60,574","60,797","132,642","230,587",
567,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",1043800,992700,141460,62440,"277,670","105,447","164,373","45,699","45,113","47,079","56,532","139,499","146,541","70,335","73,179","151,666","233,906","43,691","43,071","46,592","54,480","143,879","154,990","74,058","76,242","163,135","284,796",
569,"Harrisonburg, VA",106900,102580,7410,7650,"28,430","11,235","17,063","4,621","4,543","5,332","7,708","14,446","15,603","7,597","7,417","15,453","24,558","4,429","4,441","5,525","7,986","14,639","15,664","7,513","7,359","16,002","29,073",
570,"Myrtle Beach-Florence, SC",361900,352810,86700,16770,"91,000","35,639","54,638","14,948","15,530","16,303","18,846","42,665","43,695","22,245","23,592","53,343","92,261","14,481","14,713","16,132","18,459","45,930","48,989","24,909","26,326","62,577","110,457",
571,"Ft. Myers-Naples, FL",686500,674610,44260,126350,"131,050","55,136","84,523","22,978","23,562","25,646","31,095","75,577","81,804","39,959","42,034","102,865","250,950","21,941","22,211","25,040","29,482","73,339","80,587","40,524","44,263","113,421","272,688",
573,"Roanoke-Lynchburg, VA",477400,465730,76180,15600,"116,050","43,731","67,945","18,627","19,010","22,070","30,767","62,003","60,738","29,255","31,566","71,297","114,112","18,063","18,078","21,673","29,011","61,801","62,716","30,230","32,756","75,201","137,878",
574,"Johnstown-Altoona-State College, PA",296900,288270,7760,4890,"68,150","26,192","41,105","11,531","11,728","15,158","21,057","37,911","37,632","18,446","19,921","45,106","74,265","10,847","11,062","14,896","19,516","36,024","37,178","18,471","19,747","45,249","85,226",
575,"Chattanooga, TN",413000,402660,40270,29520,"110,980","46,032","70,211","19,100","19,034","20,160","23,952","61,310","62,311","30,030","31,227","64,211","93,116","18,103","18,020","19,979","23,211","61,628","64,511","31,270","32,298","67,454","111,213",
576,"Salisbury, MD",206500,204300,33480,11600,"45,010","20,116","30,449","8,187","8,163","8,923","10,918","24,114","23,901","11,351","11,839","31,886","64,191","7,829","7,797","9,059","11,246","25,028","25,890","12,323","12,980","36,968","74,985",
577,"Wilkes Barre-Scranton-Hazleton, PA",612300,596340,33560,50080,"155,530","59,079","92,852","25,667","26,341","30,783","35,178","80,861","86,616","41,124","43,330","98,861","151,806","24,593","24,743","30,705","33,956","77,049","84,669","41,384","43,590","99,829","175,648",
581,"Terre Haute, IN",145700,140700,4110,2820,"40,040","16,380","25,210","6,942","6,872","7,585","9,372","20,536","20,152","9,887","9,945","21,055","32,139","6,543","6,272","7,064","8,341","19,444","19,682","9,684","9,839","21,424","38,305",
582,"Lafayette, IN",78300,73070,6240,5880,"19,000","8,283","12,632","3,501","3,464","5,477","10,834","12,673","10,889","4,852","4,599","8,547","11,599","3,304","3,200","4,703","8,275","11,963","10,521","4,866","4,685","8,910","14,087",
583,"Alpena, MI",18300,17860,100,290,"3,730","1,407","2,150",571,576,645,724,"1,861","2,057","1,035","1,035","2,916","5,639",558,550,609,689,"1,759","1,933",995,"1,057","3,041","5,968",
584,"Charlottesville, VA",106000,100880,12310,5390,"28,130","10,758","16,537","4,457","4,304","4,740","6,387","14,423","15,909","7,225","7,029","14,871","24,172","4,308","4,156","4,911","6,660","15,119","16,557","7,564","7,326","16,245","29,579",
588,"South Bend-Elkhart, IN",351900,344060,33440,28700,"97,590","44,149","67,673","18,561","18,504","20,120","23,082","52,889","52,716","25,174","25,235","52,344","78,318","17,614","17,600","19,635","21,977","51,486","52,527","25,480","25,424","53,377","90,983",
592,"Gainesville, FL",155800,148980,25690,15450,"33,750","14,182","22,055","6,092","6,894","8,825","14,384","22,938","20,939","9,391","8,925","18,290","31,001","5,842","6,330","9,352","16,751","23,808","22,736","10,062","9,582","20,350","37,317",
596,"Zanesville, OH",35300,34450,2460,390,"10,390","3,995","6,189","1,701","1,600","1,743","2,000","5,067","4,928","2,426","2,462","5,298","7,607","1,621","1,548","1,728","1,917","5,009","5,107","2,469","2,568","5,552","9,313",
597,"Parkersburg, WV",62800,61670,1380,790,"15,470","5,946","9,392","2,609","2,569","2,768","3,225","8,007","8,217","4,210","4,394","9,475","15,377","2,482","2,444","2,722","3,103","7,807","8,307","4,341","4,467","9,746","18,290",
598,"Clarksburg-Weston, WV",103800,101020,2360,1370,"26,110","10,014","15,642","4,342","4,430","4,749","5,781","13,856","13,960","7,306","7,697","16,240","26,303","4,171","4,152","4,554","5,285","13,260","13,820","7,293","7,598","16,204","29,519",
600,"Corpus Christi, TX",217900,214590,8040,123930,"68,150","28,842","44,461","12,132","12,380","13,470","16,394","36,245","37,067","17,340","16,026","30,661","46,286","11,438","11,438","12,941","15,474","35,009","36,355","17,241","16,280","32,592","54,256",
602,"Chicago, IL",3773400,3751900,686260,687270,"1,063,710","420,740","668,110","184,069","187,196","211,251","251,676","633,113","658,608","308,367","297,737","579,064","760,444","176,235","178,243","208,774","246,547","638,505","661,502","312,891","303,960","604,594","932,132",
603,"Joplin, MO-Pittsburg, KS",160200,155480,4710,8010,"46,840","19,995","30,550","8,482","8,260","9,073","10,984","23,274","23,363","11,306","11,173","23,119","34,337","7,902","7,802","8,805","10,354","22,538","23,574","11,385","11,147","23,526","41,068",
604,"Columbia-Jefferson City, MO",198000,194040,15110,5710,"54,100","22,052","33,870","9,214","9,313","11,073","15,068","28,784","28,414","13,613","13,201","27,256","40,618","8,710","8,571","10,917","15,393","29,511","29,615","13,923","13,309","28,343","47,543",
605,"Topeka, KS",185000,178230,13690,15840,"49,090","21,663","33,112","9,030","8,977","10,765","15,176","27,859","26,717","12,359","11,253","23,394","38,113","8,628","8,371","10,254","14,046","25,828","26,198","12,046","11,097","24,112","44,352",
606,"Dothan, AL",128000,126240,28850,5540,"37,280","15,046","22,685","6,148","5,986","6,392","7,436","17,660","17,957","8,703","8,790","18,238","27,915","5,802","5,605","6,266","7,116","18,119","19,451","9,505","9,597","19,741","34,654",
609,"St. Louis, MO",1299700,1260410,220250,37220,"353,410","135,973","214,969","59,655","59,232","63,699","72,743","181,261","196,775","92,665","88,507","187,529","273,508","56,761","55,504","61,891","69,826","184,183","204,292","96,351","92,655","199,798","333,705",
610,"Rockford, IL",188400,184550,21540,20760,"52,020","21,057","33,085","9,145","9,149","9,975","11,515","25,924","26,287","12,922","13,310","28,722","42,812","8,724","8,691","9,820","11,154","26,418","27,412","13,184","13,473","29,316","50,032",
611,"Rochester, MN-Mason City, IA-Austin, MN",157800,154050,6900,7660,"43,240","18,222","28,185","7,729","7,701","8,269","9,197","21,506","23,621","11,345","10,381","22,061","35,373","7,453","7,223","7,974","8,793","21,806","23,389","10,997","10,174","22,161","40,850",
612,"Shreveport, LA",383700,375360,120930,24190,"110,800","46,249","71,720","19,534","19,318","20,391","23,644","52,275","53,599","25,699","25,108","52,671","80,882","18,889","18,483","20,229","22,957","54,500","59,049","28,285","27,494","57,260","99,906",
613,"Minneapolis-St. Paul, MN",1968100,1921880,166920,91430,"545,100","230,237","360,162","98,839","97,225","105,811","121,078","297,746","333,352","153,618","143,342","298,257","417,277","94,461","92,051","103,220","116,338","290,618","326,142","150,465","139,749","297,485","473,881",
616,"Kansas City, MO",1069900,1050260,133020,82820,"307,880","126,045","196,058","53,513","52,795","59,241","71,909","166,855","175,923","81,054","76,616","149,691","208,009","51,353","50,110","58,053","69,122","167,177","177,380","82,271","77,141","155,482","250,783",
617,"Milwaukee, WI",969500,957240,131010,87540,"253,850","103,478","161,423","44,378","44,344","49,304","57,954","141,836","145,538","68,696","66,441","143,058","202,141","42,258","41,803","48,072","55,928","143,441","149,726","70,650","67,824","147,584","236,887",
618,"Houston, TX",2960300,2919480,614860,938530,"1,033,600","431,497","673,685","183,691","180,789","193,730","226,203","531,833","577,406","269,637","251,588","443,185","524,905","176,466","171,577","191,720","219,805","544,794","589,966","273,416","256,590","461,218","619,938",
619,"Springfield, MO",467500,456300,12020,16590,"122,550","51,205","78,984","21,752","21,513","23,927","29,056","63,705","64,295","31,342","31,015","68,193","113,379","20,457","20,091","23,236","27,980","62,638","65,281","31,577","31,408","70,887","129,642",
622,"New Orleans, LA",696400,685140,209010,59260,"196,360","80,781","123,272","33,036","32,351","34,364","39,789","96,323","108,943","50,419","47,301","100,290","148,110","31,358","30,655","34,084","39,132","103,226","118,519","53,902","50,687","109,381","179,366",
623,"Dallas-Ft. Worth, TX",3381300,3298630,627210,755530,"1,122,790","460,928","714,970","195,744","195,097","206,863","242,167","608,592","641,659","292,911","280,222","515,561","585,596","187,606","186,140","206,119","237,410","615,756","655,397","301,689","290,308","528,160","700,266",
