SEASON,SEASON TYPE,SPORT,NETWORK,PROGRAM,EPISODE,DATE,TELECAST TIME,DURATION (MINS),P2+,P18-49
2023/2024,ALL STAR WEEKEND,NBA,TNT,"2024 NBA ALL STAR GAME ROLL UP W/ TBS, TRUTV AND REPLAY",EAST/WEST,2/18/2024,8:34:00 PM,143,6022,3030
2023/2024,ALL STAR WEEKEND,NBA,TNT,"NBA ALLSTAR RISING STARS ROLL UP W/ TRUTV, REPLAY",RISING STARS CHALLENGE,2/16/2024,9:00:00 PM,126,1180,599
2023/2024,ALL STAR WEEKEND,NBA,TNT,"NBA ALLSTAR SAT NIGHT ROLL UP W/ TRUTV, REPLAY",N/A,2/17/2024,8:00:00 PM,190,5023,2317
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 1,MAVERICKS AT CELTICS,6/6/2024,8:33:00 PM,147,10997,4628
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 2,MAVERICKS AT CELTICS,6/9/2024,8:03:00 PM,146,12313,5029
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 3 W/ ESPN ROLLUP,CELTICS AT MAVERICKS,6/12/2024,8:32:00 PM,150,11430,4404
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 4,CELTICS AT MAVERICKS,6/14/2024,8:32:00 PM,151,9619,3718
2023/2024,FINALS,NBA,ABC,NBA FINALS ON ABC-GM 5,MAVERICKS AT CELTICS,6/17/2024,8:32:00 PM,151,12228,4818
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 1,MAVERICKS AT CELTICS,6/6/2024,8:33:00 PM,147,10997,4628
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 2,MAVERICKS AT CELTICS,6/9/2024,8:03:00 PM,146,12313,5029
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 3 W/ ESPN ROLLUP,CELTICS AT MAVERICKS,6/12/2024,8:32:00 PM,150,11430,4404
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 4,CELTICS AT MAVERICKS,6/14/2024,8:32:00 PM,151,9619,3718
2023/2024,POST SEASON,NBA,ABC,NBA FINALS ON ABC-GM 5,MAVERICKS AT CELTICS,6/17/2024,8:32:00 PM,151,12228,4818
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC1-4/21,HEAT AT CELTICS,4/21/2024,1:00:00 PM,150,3783,1352
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC1-4/28,NY KNICKS AT 76'ERS,4/28/2024,1:00:00 PM,174,4645,1639
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC2-4/21,MAVERICKS AT CLIPPERS,4/21/2024,3:30:00 PM,158,4661,1780
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC2-4/28,CLIPPERS AT MAVERICKS,4/28/2024,3:54:00 PM,156,5555,2128
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC2-5/11,CELTICS AT CAVALIERS,5/11/2024,8:30:00 PM,146,5602,2037
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-4/20,LAKERS AT NUGGETS,4/20/2024,8:35:00 PM,145,5652,2191
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-4/27,NUGGETS AT LAKERS,4/27/2024,8:30:00 PM,154,5669,2265
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/11,THUNDER AT MAVERICKS,5/11/2024,3:30:00 PM,160,3865,1431
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/12,NY KNICKS AT PACERS,5/12/2024,3:30:00 PM,150,5034,1743
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/18,THUNDER AT MAVERICKS,5/18/2024,8:00:00 PM,160,5604,2085
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/19,PACERS AT NY KNICKS,5/19/2024,3:30:00 PM,161,6447,2422
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/25,CELTICS AT PACERS,5/25/2024,8:30:00 PM,162,6482,2262
2023/2024,POST SEASON,NBA,ABC,NBA PLAYOFFS ON ABC-5/5,MAGIC AT CAVALIERS,5/5/2024,1:00:00 PM,175,4324,1516
2023/2024,POST SEASON,NBA,ESPN,NBA PLAY-IN GAME L,ATLANTA/CHICAGO,4/17/2024,9:48:00 PM,144,3072,1507
2023/2024,POST SEASON,NBA,ESPN,NBA PLAY-IN GAME L,CHICAGO/MIAMI,4/19/2024,7:08:00 PM,141,2253,960
2023/2024,POST SEASON,NBA,ESPN,NBA PLAY-IN GAME L ROLL UP W/ ESPN2,MIAMI/PHILADELPHIA,4/17/2024,7:10:00 PM,158,3405,1613
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,CLEVELAND/ORLANDO,5/3/2024,7:08:00 PM,156,2944,1153
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,LA CLIPPERS/DALLAS,4/26/2024,8:36:00 PM,132,3342,1545
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,LA CLIPPERS/DALLAS,5/3/2024,9:44:00 PM,163,3903,1734
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,MILWAUKEE/INDIANA,4/26/2024,5:38:00 PM,178,2169,957
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,MINNESOTA/PHOENIX,4/26/2024,10:48:00 PM,160,2695,1315
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,ORLANDO/CLEVELAND,4/20/2024,1:09:00 PM,158,2186,953
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,PHILADELPHIA/NY KNICKS,4/20/2024,6:25:00 PM,155,4193,1767
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-1ST RD     L,PHOENIX/MINNESOTA,4/20/2024,3:47:00 PM,158,3121,1405
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF FNLS  L,INDIANA/BOSTON,5/23/2024,8:08:00 PM,151,5636,2345
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF FNLS L ROLL UP W/ ESPN2,BOSTON/INDIANA,5/27/2024,8:09:00 PM,162,6627,2505
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF FNLS L ROLL UP W/ ESPN2,INDIANA/BOSTON,5/21/2024,8:08:00 PM,175,6435,2717
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,CLEVELAND/BOSTON,5/9/2024,7:06:00 PM,151,4165,1717
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,DALLAS/OKLAHOMA CITY,5/9/2024,9:37:00 PM,156,4523,2054
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,DENVER/MINNESOTA,5/10/2024,9:44:00 PM,152,5209,2258
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,DENVER/MINNESOTA,5/16/2024,8:38:00 PM,142,5146,2195
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,NEW YORK/INDIANA,5/10/2024,7:08:00 PM,156,4492,1807
2023/2024,POST SEASON,NBA,ESPN,NBA PLAYOFFS-CONF SEMIS L,NEW YORK/INDIANA,5/17/2024,8:38:00 PM,150,5023,2183
2023/2024,POST SEASON,NBA,ESPN2,NBA PLAYOFFS-1ST RD     L,PHILADELPHIA/NEW YORK,4/20/2024,6:22:00 PM,12,233,91
2023/2024,POST SEASON,NBA,NBA-TV,NBA PLAYOFFS- ROUND 1  L,CLEVELAND/ORLANDO GM3,4/25/2024,6:59:00 PM,142,252,108
2023/2024,POST SEASON,NBA,NBA-TV,NBA PLAYOFFS- ROUND 1  L,INDIANA/MILWAUKEE GM2,4/23/2024,8:30:00 PM,152,555,238
2023/2024,POST SEASON,NBA,NBA-TV,NBA PLAYOFFS- ROUND 1  L,OKLAHOMA CITY/NEW ORLEANS G4,4/29/2024,8:29:00 PM,157,567,271
2023/2024,POST SEASON,NBA,NBA-TV,NBA PLAYOFFS- ROUND 1  L,ORLANDO/CLEVELAND GM2,4/22/2024,6:55:00 PM,167,381,174
2023/2024,POST SEASON,NBA,NBA-TV,NBA PLAYOFFS- ROUND 1  L,ORLANDO/CLEVELAND GM5,4/30/2024,8:00:00 PM,162,402,165
2023/2024,POST SEASON,NBA,ESPNU,NBA PLAYOFFS-1ST RD     L,LA CLIPPERS/DALLAS,4/26/2024,8:17:00 PM,21,23,12
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- CONF FNLS L W/ TRUTV,MAVERICKS/TIMBERWOLVES,5/22/2024,8:33:00 PM,155,7017,3283
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- CONF FNLS L W/ TRUTV,MAVERICKS/TIMBERWOLVES,5/24/2024,8:33:00 PM,158,6269,2689
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- CONF FNLS L W/ TRUTV,MAVERICKS/TIMBERWOLVES,5/30/2024,8:32:00 PM,149,6262,2759
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- CONF FNLS L W/ TRUTV,TIMBERWOLVES/MAVERICKS,5/26/2024,8:03:00 PM,161,7250,3114
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- CONF FNLS L W/ TRUTV,TIMBERWOLVES/MAVERICKS,5/28/2024,8:33:00 PM,163,6868,3025
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- PLAY-IN L,LAKERS/PELICANS,4/16/2024,7:33:00 PM,160,3817,1966
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- PLAY-IN L,WARRIORS/KINGS,4/16/2024,10:13:00 PM,150,3943,1926
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- PLAY-IN ROLL UP W/ TRUTV,KINGS/PELICANS,4/19/2024,9:30:00 PM,163,2568,1216
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L,BUCKS/PACERS,4/28/2024,7:06:00 PM,150,3446,1545
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L,CAVALIERS/MAGIC,4/27/2024,1:01:00 PM,149,1414,586
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L,CELTICS/HEAT,4/27/2024,5:56:00 PM,147,3043,1316
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L,THUNDER/PELICANS,4/27/2024,3:30:00 PM,146,2026,825
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L,TIMBERWOLVES/SUNS,4/28/2024,9:36:00 PM,181,3624,1748
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,76ERS/KNICKS,4/22/2024,7:33:00 PM,160,3469,1541
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,76ERS/KNICKS,4/30/2024,7:03:00 PM,173,3593,1540
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,BUCKS/PACERS,5/2/2024,6:31:00 PM,153,2656,1167
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,CELTICS/HEAT,4/29/2024,7:33:00 PM,150,3012,1253
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,HEAT/CELTICS,4/24/2024,7:11:00 PM,151,3125,1385
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,HEAT/CELTICS,5/1/2024,7:36:00 PM,150,2859,1269
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,KNICKS/76ERS,4/25/2024,7:41:00 PM,158,2570,1098
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,PACERS/BUCKS,4/21/2024,7:08:00 PM,150,3441,1620
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - EARLY,SUNS/TIMBERWOLVES,4/23/2024,7:41:00 PM,157,2984,1352
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,KNICKS/76ERS,5/2/2024,9:04:00 PM,167,5093,2389
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,LAKERS/NUGGETS,4/22/2024,10:13:00 PM,151,4251,2004
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,LAKERS/NUGGETS,4/29/2024,10:03:00 PM,149,4528,2020
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,MAVERICKS/CLIPPERS,4/23/2024,10:18:00 PM,161,2880,1375
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,MAVERICKS/CLIPPERS,5/1/2024,10:06:00 PM,148,3178,1466
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,NUGGETS/LAKERS,4/25/2024,10:19:00 PM,146,3523,1634
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,PACERS/BUCKS,4/30/2024,9:56:00 PM,136,2501,1084
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,PELICANS/THUNDER,4/21/2024,9:38:00 PM,151,3249,1558
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 1 L W/ TRUTV - LATE,PELICANS/THUNDER,4/24/2024,9:42:00 PM,150,3022,1379
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L,NUGGETS/TIMBERWOLVES,5/12/2024,8:03:00 PM,152,5608,2390
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV,PACERS/KNICKS,5/8/2024,8:07:00 PM,153,4903,2204
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV,TIMBERWOLVES/NUGGETS,5/4/2024,7:04:00 PM,146,4931,2087
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV,TIMBERWOLVES/NUGGETS,5/19/2024,8:04:00 PM,159,8410,3969
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - EARLY,CAVALIERS/CELTICS,5/7/2024,7:06:00 PM,141,3514,1565
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - EARLY,CAVALIERS/CELTICS,5/15/2024,7:03:00 PM,150,3733,1486
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - EARLY,CELTICS/CAVALIERS,5/13/2024,7:04:00 PM,150,4091,1837
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - EARLY,PACERS/KNICKS,5/6/2024,7:36:00 PM,153,4768,2127
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - EARLY,PACERS/KNICKS,5/14/2024,8:00:00 PM,161,4879,2252
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - LATE,MAVERICKS/THUNDER,5/7/2024,9:36:00 PM,155,3679,1696
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - LATE,MAVERICKS/THUNDER,5/15/2024,9:33:00 PM,143,4260,1935
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - LATE,THUNDER/MAVERICKS,5/13/2024,9:34:00 PM,166,4338,2158
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - LATE,TIMBERWOLVES/NUGGETS,5/6/2024,10:09:00 PM,145,4670,2223
2023/2024,POST SEASON,NBA,TNT,NBA PLAYOFFS- ROUND 2 L W/ TRUTV - LATE,TIMBERWOLVES/NUGGETS,5/14/2024,10:41:00 PM,149,4509,2208
2023/2024,REGULAR SEASON,NBA,ABC,IN SEASON FINAL ROLL UP W/ ESPN2,INDIANA PACERS VS LOS ANGELES LAKERS,12/9/2023,8:29:00 PM,176,4580,1951
2023/2024,REGULAR SEASON,NBA,ABC,NBA CHRISTMAS SPECIAL - ABC+ESPN ROLL UP - GAME 2,GOLDEN STATE WARRIORS AT DENVER NUGGETS,12/25/2023,2:29:00 PM,156,4128,1513
2023/2024,REGULAR SEASON,NBA,ABC,NBA CHRISTMAS SPECIAL - ABC+ESPN ROLL UP - GAME 3,BOSTON CELTICS AT LOS ANGELES LAKERS,12/25/2023,5:05:00 PM,150,5013,1934
2023/2024,REGULAR SEASON,NBA,ABC,NBA ON ABC1-1/27,MIAMI HEAT AT NEW YORK KNICKS,1/27/2024,3:00:00 PM,157,1784,661
2023/2024,REGULAR SEASON,NBA,ABC,NBA ON ABC1-2/25,BUCKS AT 76'ERS,2/25/2024,1:00:00 PM,152,1638,502
2023/2024,REGULAR SEASON,NBA,ABC,NBA ON ABC-2/11,BOSTON CELTICS AT MIAMI HEAT,2/11/2024,2:01:00 PM,157,2131,732
2023/2024,REGULAR SEASON,NBA,ABC,NBA ON ABC2-1/27,PHILADELPHIA 76ERS AT DENVER NUGGETS,1/27/2024,5:37:00 PM,160,2623,979
2023/2024,REGULAR SEASON,NBA,ABC,NBA ON ABC2-2/25,LAKERS AT SUNS,2/25/2024,3:32:00 PM,153,2977,1023
2023/2024,REGULAR SEASON,NBA,ABC,NBA SATURDAY PRIMETIME,CELTICS AT NY KNICKS,2/24/2024,8:30:00 PM,150,2221,692
2023/2024,REGULAR SEASON,NBA,ABC,NBA SATURDAY PRIMETIME,CELTICS AT SUNS,3/9/2024,8:30:00 PM,150,2400,752
2023/2024,REGULAR SEASON,NBA,ABC,NBA SATURDAY PRIMETIME,LOS ANGELES LAKERS AT GOLDEN STATE WARRI,1/27/2024,8:30:00 PM,213,3968,1336
2023/2024,REGULAR SEASON,NBA,ABC,NBA SATURDAY PRIMETIME,LOS ANGELES LAKERS AT NEW YORK KNICKS,2/3/2024,8:30:00 PM,153,2743,937
2023/2024,REGULAR SEASON,NBA,ABC,NBA SATURDAY PRIMETIME,NUGGETS AT LAKERS,3/2/2024,8:30:00 PM,150,3047,1047
2023/2024,REGULAR SEASON,NBA,ABC,NBA SATURDAY PRIMETIME,PHOENIX SUNS AT GOLDEN STATE WARRIORS,2/10/2024,8:30:00 PM,158,2574,821
2023/2024,REGULAR SEASON,NBA,ABC,NBA SATURDAY PRIMETIME,WARRIORS AT LAKERS,3/16/2024,8:30:00 PM,160,2969,869
2023/2024,REGULAR SEASON,NBA,ABC,NBA SUNDAY SHOWCASE 1-ABC,76'ERS AT MAVERICKS,3/3/2024,1:00:00 PM,159,1738,513
2023/2024,REGULAR SEASON,NBA,ABC,NBA SUNDAY SHOWCASE 1-ABC,SUNS AT BUCKS,3/17/2024,1:01:00 PM,146,1513,445
2023/2024,REGULAR SEASON,NBA,ABC,NBA SUNDAY SHOWCASE 2-ABC,NUGGETS AT MAVERICKS,3/17/2024,3:27:00 PM,158,2152,743
2023/2024,REGULAR SEASON,NBA,ABC,NBA SUNDAY SHOWCASE 2-ABC,WARRIORS AT CELTICS,3/3/2024,3:39:00 PM,141,3005,920
2023/2024,REGULAR SEASON,NBA,ABC,NBA WED ON ABC,CHICAGO BULLS AT NEW YORK KNICKS,1/3/2024,8:30:00 PM,144,1636,520
2023/2024,REGULAR SEASON,NBA,ABC,NBA WED ON ABC,DALLAS MAVERICKS AT LOS ANGELES LAKERS,1/17/2024,8:30:00 PM,137,1987,686
2023/2024,REGULAR SEASON,NBA,ABC,NBA WED ON ABC,NEW ORLEANS PELICANS AT GOLDEN STATE WAR,1/10/2024,8:30:00 PM,142,1577,436
2023/2024,REGULAR SEASON,NBA,ABC,NBA WED ON ABC,PHOENIX SUNS AT BROOKLYN NETS,1/31/2024,8:30:00 PM,157,1411,370
2023/2024,REGULAR SEASON,NBA,ABC,NBA WED ON ABC,PHOENIX SUNS AT DALLAS MAVERICKS,1/24/2024,8:30:00 PM,155,1675,516
2023/2024,REGULAR SEASON,NBA,ESPN,NBA CHRISTMAS SPECIAL - ESPN+ESPN2 ROLL UP - GAME 1,MILWAUKEE/NEW YORK,12/25/2023,11:59:00 AM,157,2486,1081
2023/2024,REGULAR SEASON,NBA,ESPN,NBA CHRISTMAS SPECIAL - ESPN+ESPN2 ROLL UP - GAME 4,PHILADELPHIA/MIAMI,12/25/2023,8:00:00 PM,157,1295,593
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,BOSTON/NEW YORK,10/25/2023,7:11:00 PM,163,2552,1187
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,BOSTON/PHILADELPHIA,11/15/2023,7:41:00 PM,146,1848,796
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,BROOKLYN/BOSTON,11/10/2023,7:41:00 PM,146,1408,599
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,BROOKLYN/LA LAKERS,1/19/2024,10:29:00 PM,143,1167,550
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,CHICAGO/CLEVELAND,2/14/2024,7:42:00 PM,146,864,384
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,CHICAGO/NEW YORK,4/14/2024,1:11:00 PM,159,1183,466
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,CLEVELAND/PHILADELPHIA,2/23/2024,7:42:00 PM,147,1200,497
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,CLEVELAND/PHOENIX,4/3/2024,10:08:00 PM,140,1117,485
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DALLAS/BOSTON,3/1/2024,7:41:00 PM,147,1449,574
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DALLAS/DENVER,11/3/2023,10:21:00 PM,143,1796,791
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DALLAS/MIAMI,4/10/2024,7:42:00 PM,145,1233,558
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DALLAS/PHOENIX,12/25/2023,10:37:00 PM,155,1469,739
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DALLAS/SAN ANTONIO,10/25/2023,9:54:00 PM,143,2990,1584
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DENVER/BOSTON,1/19/2024,7:41:00 PM,140,2016,873
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DENVER/GOLDEN STATE,2/25/2024,7:12:00 PM,149,2195,824
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DENVER/LA CLIPPERS,12/6/2023,10:07:00 PM,142,1308,615
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DENVER/MIAMI,3/13/2024,7:41:00 PM,147,1086,458
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DENVER/PHOENIX,12/1/2023,10:13:00 PM,149,1190,529
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,DENVER/UTAH,1/10/2024,10:09:00 PM,149,733,331
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,GOLDEN STATE/DENVER,11/8/2023,10:08:00 PM,148,1852,835
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,GOLDEN STATE/PHILADELPHIA,2/7/2024,7:41:00 PM,147,1163,400
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,GOLDEN STATE/PHOENIX,11/22/2023,10:06:00 PM,173,1995,832
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,GOLDEN STATE/SACRAMENTO,10/27/2023,10:08:00 PM,151,1760,738
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,INDIANA/MILWAUKEE,12/7/2023,5:12:00 PM,153,1600,748
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA CLIPPERS/GOLDEN STATE,2/14/2024,10:08:00 PM,160,1324,537
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA CLIPPERS/HOUSTON,3/6/2024,7:42:00 PM,145,1004,395
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA CLIPPERS/LA LAKERS,11/1/2023,10:17:00 PM,176,1481,714
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA CLIPPERS/MIAMI,2/4/2024,6:15:00 PM,140,1488,682
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA CLIPPERS/PHILADELPHIA,3/27/2024,7:41:00 PM,147,1225,577
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA CLIPPERS/UTAH,12/8/2023,10:00:00 PM,154,703,303
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA LAKERS/LA CLIPPERS,2/28/2024,10:08:00 PM,145,1404,622
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA LAKERS/NEW ORLEANS,4/14/2024,3:50:00 PM,135,1457,568
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA LAKERS/PHOENIX,11/10/2023,10:07:00 PM,164,1929,888
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA LAKERS/SACRAMENTO,3/13/2024,10:08:00 PM,140,1400,583
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,LA LAKERS/SAN ANTONIO,12/15/2023,7:41:00 PM,147,1463,596
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,MEMPHIS/GOLDEN STATE,3/20/2024,10:11:00 PM,136,1238,471
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,MEMPHIS/LA LAKERS,1/5/2024,10:11:00 PM,147,1719,790
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,MIAMI/BOSTON,10/27/2023,7:41:00 PM,147,1582,666
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,MIAMI/LA LAKERS,1/3/2024,10:02:00 PM,146,978,442
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,MIAMI/NEW YORK,11/24/2023,7:51:00 PM,144,1101,442
2023/2024,REGULAR SEASON,NBA,ESPN,NBA REGULAR SEASON     L,MIAMI/PHILADELPHIA,3/18/2024,7:42:00 PM,146,1200,495
